Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/05/2021 15:00,49.67648,61.34315,0,173.2163,6.527055,0.071407,0.071407,1,11.66667,11.66667,0,0,0,61.34315,0,0,83.00357,0,83.00357,0,,66.402856
01/05/2021 16:00,59.71398,62.21398,0,173.2163,6.527055,0.071407,0.071407,1,2.5,2.5,0,0,0,62.21398,0,0,83.91795,0,83.91795,0,,67.13436
01/05/2021 17:00,72.40608,102.4061,0,173.2163,6.527055,0.071407,0.071407,1,30,30,0,0,0,102.4061,0,0,126.1197,0,126.1197,0,,100.89576
01/05/2021 18:00,79.08311,133.2498,0,173.2163,6.527055,0.071407,0.071407,1,54.16667,54.16667,0,0,0,133.2498,0,0,158.5055,0,158.5055,0,,126.8044
01/05/2021 19:00,81.87109,101.8711,0,173.2163,6.527055,0.071407,0.071407,1,20,20,0,0,0,101.8711,0,0,125.5579,0,125.5579,0,,100.44632
01/05/2021 20:00,90.94096,128.441,0,173.2163,6.527055,0.071407,0.071407,1,37.5,37.5,0,0,0,128.441,0,0,153.4563,0,153.4563,0,,122.76504
01/05/2021 21:00,85.63792,135.6379,0,173.2163,6.527055,0.071407,0.071407,1,50,50,0,0,0,135.6379,0,0,161.0131,0,161.0131,0,,128.81048
01/05/2021 22:00,60.73211,118.2321,0,173.2163,6.527055,0.071407,0.071407,1,57.5,57.5,0,0,0,118.2321,0,0,142.737,0,142.737,0,,114.1896
01/05/2021 23:00,40.9822,55.14887,0,173.2163,6.527055,0.071407,0.071407,1,14.16667,14.16667,0,0,0,55.14887,0,0,76.49958,0,76.49958,0,,61.199664
01/06/2021 00:00,37.72658,37.72658,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,37.72658,0,0,58.20617,0,58.20617,0,,46.564936
01/06/2021 01:00,37.57402,37.57402,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,37.57402,0,0,58.04598,0,58.04598,0,,46.436784
01/06/2021 02:00,36.95383,36.95383,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,36.95383,0,0,57.39479,0,57.39479,0,,45.915832
01/06/2021 03:00,38.20332,38.20332,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,38.20332,0,0,58.70675,0,58.70675,0,,46.9654
01/06/2021 04:00,40.97238,88.47238,0,173.2163,6.527055,0.071407,0.071407,1,47.5,47.5,0,0,0,88.47238,0,0,111.4893,0,111.4893,0,,89.19144
01/06/2021 05:00,49.05469,106.5547,0,173.2163,6.527055,0.071407,0.071407,1,57.5,57.5,0,0,0,106.5547,0,0,130.4757,0,130.4757,0,,104.38056
01/06/2021 06:00,74.82746,90.6608,0,173.2163,6.527055,0.071407,0.071407,1,15.83333,15.83333,0,0,0,90.6608,0,0,113.7871,0,113.7871,0,,91.02968
01/06/2021 07:00,90.20364,142.7036,0,173.2163,6.527055,0.071407,0.071407,1,52.5,52.5,0,0,0,142.7036,0,0,168.4321,0,168.4321,0,,134.74568
01/06/2021 08:00,74.35263,109.3526,0,173.2163,6.527055,0.071407,0.071407,1,35,35,0,0,0,109.3526,0,0,133.4135,0,133.4135,0,,106.7308
01/06/2021 09:00,69.00337,134.0034,0,173.2163,6.527055,0.071407,0.071407,1,65,65,0,0,0,134.0034,0,0,159.2968,0,159.2968,0,,127.43744
01/06/2021 10:00,51.71066,65.044,0,173.2163,6.527055,0.071407,0.071407,1,13.33333,13.33333,0,0,0,65.044,0,0,86.88947,0,86.88947,0,,69.511576
01/06/2021 11:00,51.42125,53.92125,0,173.2163,6.527055,0.071407,0.071407,1,2.5,2.5,0,0,0,53.92125,0,0,75.21058,0,75.21058,0,,60.168464
01/06/2021 12:00,50.64698,83.98032,0,173.2163,6.527055,0.071407,0.071407,1,33.33333,33.33333,0,0,0,83.98032,0,0,106.7726,0,106.7726,0,,85.41808
01/06/2021 13:00,49.99866,62.49866,0,173.2163,6.527055,0.071407,0.071407,1,12.5,12.5,0,0,0,62.49866,0,0,84.21686,0,84.21686,0,,67.373488
01/06/2021 14:00,49.71915,69.71915,0,173.2163,6.527055,0.071407,0.071407,1,20,20,0,0,0,69.71915,0,0,91.79837,0,91.79837,0,,73.438696
01/06/2021 15:00,49.07582,68.24249,0,173.2163,6.527055,0.071407,0.071407,1,19.16667,19.16667,0,0,0,68.24249,0,0,90.24788,0,90.24788,0,,72.198304
01/06/2021 16:00,58.8949,86.3949,0,173.2163,6.527055,0.071407,0.071407,1,27.5,27.5,0,0,0,86.3949,0,0,109.3079,0,109.3079,0,,87.44632
01/06/2021 17:00,72.93556,112.1022,0,173.2163,6.527055,0.071407,0.071407,1,39.16667,39.16667,0,0,0,112.1022,0,0,136.3006,0,136.3006,0,,109.04048
01/06/2021 18:00,79.54163,143.7083,0,173.2163,6.527055,0.071407,0.071407,1,64.16666,64.16666,0,0,0,143.7083,0,0,169.487,0,169.487,0,,135.5896
01/06/2021 19:00,82.21239,142.2124,0,173.2163,6.527055,0.071407,0.071407,1,60,60,0,0,0,142.2124,0,0,167.9163,0,167.9163,0,,134.33304
01/06/2021 20:00,91.12492,106.1249,0,173.2163,6.527055,0.071407,0.071407,1,15,15,0,0,0,106.1249,0,0,130.0244,0,130.0244,0,,104.01952
01/06/2021 21:00,85.87354,85.87354,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,85.87354,0,0,108.7605,0,108.7605,0,,87.0084
01/06/2021 22:00,61.56646,81.56647,0,173.2163,6.527055,0.071407,0.071407,1,20,20,0,0,0,81.56647,0,0,104.2381,0,104.2381,0,,83.39048
01/06/2021 23:00,43.20376,98.20377,0,173.2163,6.527055,0.071407,0.071407,1,55,55,0,0,0,98.20377,0,0,121.7072,0,121.7072,0,,97.36576
